startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2021-01-28 19:56:17 +0000,2021-01-28 20:29:30 +0000,TraditionalStrengthTraining,1993.244708,sec,394.179 kcal,,America/New_York,37.4 degF,9.69503,4700
2021-01-28 20:33:58 +0000,2021-01-28 20:46:28 +0000,TraditionalStrengthTraining,750.4167191,sec,147.607 kcal,,America/New_York,37.4 degF,9.73376,4600
2021-01-30 19:00:20 +0000,2021-01-30 19:27:55 +0000,TraditionalStrengthTraining,1655.718983,sec,243.297 kcal,,America/New_York,41 degF,6.71753,3600
2021-02-04 01:36:43 +0000,2021-02-04 02:17:34 +0000,TraditionalStrengthTraining,2450.852743,sec,376.161 kcal,,America/New_York,37.4 degF,7.14822,2700
2021-02-04 21:23:44 +0000,2021-02-04 21:47:49 +0000,TraditionalStrengthTraining,1445.226595,sec,232.712 kcal,,America/New_York,48.2 degF,7.5573,2300
2021-02-08 17:46:54 +0000,2021-02-08 18:30:58 +0000,TraditionalStrengthTraining,2643.527373,sec,452.538 kcal,,America/New_York,44.6 degF,8.44758,4300
2021-02-09 17:52:09 +0000,2021-02-09 18:17:54 +0000,TraditionalStrengthTraining,1545.221906,sec,276.301 kcal,,America/New_York,55.4 degF,8.59963,6600
2021-02-10 17:48:22 +0000,2021-02-10 18:31:19 +0000,TraditionalStrengthTraining,2577.277309,sec,414.776 kcal,,America/New_York,48.2 degF,7.65449,6400
2021-02-11 17:54:52 +0000,2021-02-11 18:08:18 +0000,TraditionalStrengthTraining,805.878976,sec,105.761 kcal,,America/New_York,46.4 degF,5.9855,8900
2021-02-13 19:10:37 +0000,2021-02-13 20:00:10 +0000,TraditionalStrengthTraining,2972.68684,sec,444.686 kcal,,America/New_York,33.8 degF,6.89302,9200
2021-02-14 19:21:31 +0000,2021-02-14 20:10:19 +0000,TraditionalStrengthTraining,2928.782189,sec,451.731 kcal,,America/New_York,37.4 degF,7.06874,9400
2021-02-16 17:44:11 +0000,2021-02-16 18:19:27 +0000,TraditionalStrengthTraining,2115.57918,sec,315.533 kcal,,America/New_York,46.4 degF,6.65885,7400
2021-02-19 21:02:57 +0000,2021-02-19 21:16:51 +0000,TraditionalStrengthTraining,833.8381029,sec,134.173 kcal,,America/New_York,46.4 degF,7.19703,5900
2021-02-20 23:02:43 +0000,2021-02-20 23:53:28 +0000,TraditionalStrengthTraining,3045.480163,sec,576.089 kcal,,America/New_York,39.2 degF,9.22485,2800
2021-02-26 21:09:31 +0000,2021-02-26 21:57:13 +0000,TraditionalStrengthTraining,2862.387014,sec,413.458 kcal,,America/New_York,42.8 degF,6.57468,7600
2021-02-28 20:12:57 +0000,2021-02-28 20:56:43 +0000,TraditionalStrengthTraining,2625.949308,sec,473.87 kcal,,America/New_York,64.4 degF,8.84251,7500
2021-03-01 13:18:46 +0000,2021-03-01 14:16:51 +0000,TraditionalStrengthTraining,3484.927581,sec,434.785 kcal,,America/New_York,57.2 degF,5.30144,9500
2021-03-02 21:15:19 +0000,2021-03-02 21:57:51 +0000,TraditionalStrengthTraining,2552.306173,sec,392.118 kcal,,America/New_York,,7.05579,
2021-03-06 17:03:48 +0000,2021-03-06 17:48:28 +0000,TraditionalStrengthTraining,2679.66922,sec,378.103 kcal,,America/New_York,48.2 degF,6.21319,2900
2021-03-11 02:10:50 +0000,2021-03-11 02:41:10 +0000,TraditionalStrengthTraining,1819.512836,sec,255.089 kcal,,America/New_York,57.2 degF,6.1566,3500
2021-03-17 16:20:49 +0000,2021-03-17 17:12:31 +0000,TraditionalStrengthTraining,3101.835583,sec,476.103 kcal,,America/New_York,46.4 degF,7.07223,8600
2021-03-22 01:15:33 +0000,2021-03-22 02:12:57 +0000,TraditionalStrengthTraining,3443.686265,sec,351.381 kcal,,America/New_York,53.6 degF,3.62128,4100
2021-03-22 16:27:19 +0000,2021-03-22 17:09:35 +0000,TraditionalStrengthTraining,2536.596408,sec,313.575 kcal,,America/New_York,60.8 degF,5.15118,4100
2021-03-24 16:49:34 +0000,2021-03-24 17:25:16 +0000,TraditionalStrengthTraining,2141.330361,sec,339.322 kcal,,America/New_York,57.2 degF,7.34116,8800
2021-04-05 02:40:00 +0000,2021-04-05 03:23:24 +0000,TraditionalStrengthTraining,2603.964818,sec,364.463 kcal,,America/New_York,55.4 degF,6.317,4200
2021-04-07 18:49:21 +0000,2021-04-07 19:04:52 +0000,TraditionalStrengthTraining,930.4626369,sec,182.592 kcal,,America/New_York,82.4 degF,9.67868,2500
2021-04-12 20:28:38 +0000,2021-04-12 21:31:50 +0000,TraditionalStrengthTraining,3792.201265,sec,457.232 kcal,,America/New_York,78.8 degF,4.87076,2000
2021-04-14 14:17:06 +0000,2021-04-14 15:04:07 +0000,TraditionalStrengthTraining,2821.078113,sec,458.756 kcal,,America/New_York,66.2 degF,7.66239,5400
2021-04-16 01:09:43 +0000,2021-04-16 02:12:44 +0000,TraditionalStrengthTraining,3780.827858,sec,698.523 kcal,,America/New_York,57.2 degF,8.92351,3800
